Code,Description
01,Servicios públicos generales
01.1,"Órganos ejecutivos y legislativos, asuntos financieros y fiscales, asuntos exteriores"
01.1.1,Órganos ejecutivos y legislativos (SC)
01.1.2,Asuntos financieros y fiscales (SC)
01.1.3,Asuntos exteriores (SC)
01.2,Ayuda económica exterior
01.2.1,Ayuda económica a los países en desarrollo y en transición (SC)
01.2.2,Ayuda económica prestada a través de organizaciones internacionales (SC)
01.3,Servicios generales
01.3.1,Servicios generales de personal (SC)
01.3.2,Servicios generales de planificación y estadística
01.3.3,Otros servicios generales (SC)
01.4,Investigación básica
01.4.0,Investigación básica (SC)
01.5,Investigación y desarrollo relacionados con los servicios públicos generales
01.5.0,Investigación y desarrollo relacionados con los servicios públicos generales (SC)
01.6,Servicios públicos generales n.e.p.
01.6.0,Servicios públicos generales n.e.p. (SC)
01.7,Transacciones de la deuda pública
01.7.0,Transacciones de la deuda pública (SC)
01.8,Transferencias de carácter general entre diferentes niveles de gobierno
01.8.0,Transferencias de carácter general entre diferentes niveles de gobierno (SC)
02,Defensa
02.1,Defensa militar
02.1.0,Defensa militar (SC)
02.2,Defensa civil
02.2.0,Defensa civil (SC)
02.3,Ayuda militar al exterior
02.3.0,Ayuda militar al exterior (SC)
02.4,Investigación y desarrollo relacionados con la defensa
02.4.0,Investigación y desarrollo relacionados con la defensa (SC)
02.5,Defensa n.e.p.
02.5.0,Defensa n.e.p. (SC)
03,Orden público y seguridad
03.1,Servicios de policía
03.1.0,Servicios de policía (SC)
03.2,Servicios de protección contra incendios
03.2.0,Servicios de protección contra incendios (SC)
03.3,Tribunales de justicia
03.3.0,Tribunales de justicia (SC)
03.4,Prisiones
03.4.0,Prisiones (SC)
03.5,Investigación y desarrollo relacionados con el orden público y la seguridad
03.5.0,Investigación y desarrollo relacionados con el orden público y la seguridad (SC)
03.6,Orden público y seguridad n.e.p.
03.6.0,Orden público y seguridad n.e.p. (SC)
04,Asuntos económicos
04.1,"Asuntos económicos, comerciales y laborales en general"
04.1.1,Asuntos económicos y comerciales en general (SC)
04.1.2,Asuntos laborales generales (SC)
04.2,"Agricultura, silvicultura, pesca y caza"
04.2.1,Agricultura (SC)
04.2.2,Silvicultura (SC)
04.2.3,Pesca y caza (SC)
04.3,Combustibles y energía
04.3.1,Carbón y otros combustibles minerales sólidos (SC)
04.3.2,Petróleo y gas natural (SC)
04.3.3,Combustibles nucleares (SC)
04.3.4,Otros combustibles (SC)
04.3.5,Electricidad (SC)
04.3.6,Energía no eléctrica (SC)
04.4,"Minería, manufacturas y construcción"
04.4.1,Extracción de recursos minerales excepto los combustibles minerales (SC)
04.4.2,Manufacturas (SC)
04.4.3,Construcción (SC)
04.5,Transporte
04.5.1,Transporte por carretera (SC)
04.5.2,Transporte por agua (SC)
04.5.3,Transporte por ferrocarril (SC)
04.5.4,Transporte aéreo (SC)
04.5.5,Transporte por oleoductos y gasoductos y otros sistemas de transporte
04.6,Comunicaciones
04.6.0,Comunicaciones (SC)
04.7,Otras industrias
04.7.1,"Comercio de distribución, almacenamiento y depósito (SC)"
04.7.2,Hoteles y restaurantes (SC)
04.7.3,Turismo (SC)
04.7.4,Proyectos de desarrollo polivalentes (SC)
04.8,Investigación y desarrollo relacionados con asuntos económicos
04.8.1,"Investigación y desarrollo relacionados con asuntos económicos, comerciales y laborales en general (SC)"
04.8.2,"Investigación y desarrollo relacionados con agricultura, silvicultura, pesca y caza (SC)"
04.8.3,Investigación y desarrollo relacionados con combustibles y energía (SC)
04.8.4,"Investigación y desarrollo relacionados con minería, manufacturas y construcción (SC)"
04.8.5,Investigación y desarrollo relacionados con el transporte (SC)
04.8.6,Investigación y desarrollo relacionados con las comunicaciones (SC)
04.8.7,Investigación y desarrollo relacionados con otras industrias (SC)
04.9,Asuntos económicos n.e.p.
04.9.0,Asuntos económicos n.e.p. (SC)
05,Protección del medio ambiente
05.1,Ordenación de desechos
05.1.0,Ordenación de desechos (SC)
05.2,Ordenación de aguas residuales
05.2.0,Ordenación de las aguas residuales (SC)
05.3,Reducción de la contaminación
05.3.0,Reducción de la contaminación (SC)
05.4,Protección de la diversidad biológica y del paisaje
05.4.0,Protección de la diversidad biológica y del paisaje (SC)
05.5,Investigación y desarrollo relacionados con la protección del medio ambiente
05.5.0,Investigación y desarrollo relacionados con la protección del medio ambiente (SC)
05.6,Protección del medio ambiente n.e.p.
05.6.0,Protección del medio ambiente n.e.p. (SC)
06,Vivienda y servicios comunitarios
06.1,Urbanización
06.1.0,Urbanización (SC)
06.2,Desarrollo comunitario
06.2.0,Desarrollo comunitario (SC)
06.3,Abastecimiento de agua
06.3.0,Abastecimiento de agua
06.4,Alumbrado público
06.4.0,Alumbrado público (SC)
06.5,Investigación y desarrollo relacionados con la vivienda y los servicios comunitarios
06.5.0,Investigación y desarrollo relacionados con la vivienda y los servicios comunitarios (SC)
06.6,Vivienda y servicios comunitarios n.e.p.
06.6.0,Vivienda y servicios comunitarios n.e.p. (SC)
07,Salud
07.1,"Productos, útiles y equipo médicos"
07.1.1,Productos farmacéuticos (SI)
07.1.2,Otros productos médicos (SI)
07.1.3,Aparatos y equipos terapéuticos (SI)
07.2,Servicios para pacientes externos
07.2.1,Servicios médicos generales (SI)
